id,sent0,sent1,gold_label
1206,My father was buried in the Andrews Cemetery.,My father was buried in the Andrews Computer.,1
1207,Bread is typically a main ingredient of a sandwich,Plastic is typically a main ingredient of a sandwich,1
1208,He moved from the city to the suburbs.,He moved from the ocean to the suburbs.,1
1209,soft music relax the  mind,noise relax the  mind,1
1210,He used bells to make silent,He used bells to make noise,0
1211,My Aunt just discovered that she is three months pregnant.,My Uncle just discovered that she is three months pregnant.,1
1212,The fish batted the ball around the living room.,The cat batted the ball around the living room.,0
1213,A man ate plastic box for his health development,A man ate banana for his health development,0
1214,If you break your cell phone you should go to the hospital.,If you break a leg you should go to the hospital.,0
1215,He changed the light bulb.,He changed the air.,1
1216,He turned on the fan since it was dark,He turned on the lamp since it was dark,0
1217,he take a shower,he take a hill,1
1218,he buys a microphone to listen to music,He buys a speaker to listen to music,0
1219,I need to fly in a Train to California.,I need to fly in a plane to California.,0
1220,Human goes faster than light,A car goes faster than a human,0
1221,You can buy people at the mall.,You can buy food at the mall.,0
1222,Joe threw the red ball to Tom.,The red ball threw Joe to Tom.,1
1223,He cooked the popcorn in the microwave.,He cooked the popcorn in the refrigerator.,1
1224,Minecraft is a perfect representation of reality,Minecraft is a videogame,0
1225,i am going to book buy to book store,i am going to book buy to fancy store,1
1226,He went to the butcher shop to get ready for his birthday party.,He went to the barber shop to get ready for his birthday party.,0
1227,He lit the water.,He lit the lamp.,0
1228,He put a frozen pizza in the refridgerator,He put a frozen pizza in the oven,0
1229,Something that you find in the sky is dogs.,Something that you find in the sky is birds.,0
1230,He put a house in his pocket,He put his wallet in his pocket,0
1231,I like eating concrete,I like eating apples,0
1232,he drove a car on the road,he drove a plane on the road,1
1233,"To get across an ocean, you need a plane","To get across an ocean, you need a car",1
1234,She lived in a chocolate bar,She ate a chocolate bar,0
1235,My electric car is yellow,My electric car is silly,1
1236,A computer is a natural item,A computer is an electronic item,0
1237,Ants are hard-working insects,Elephants are hard-working insects,1
1238,Christmas is a time for family and gifts,Christmas is a time for working all day,1
1239,In holland we do not eat much rice,In coconut we do not eat much rice,1
1240,I put dirty utensils in the wasing machine.,I put my dirty clothes in the washing machine.,0
1241,He bought new mobile with his teeth,He bought new mobile with his money,0
1242,Senior citizens may be young.,Senior citizens are old.,0
1243,"If you need a haircut, you go to McDonalds.","If you need a haircut, you go to a barbershop.",0
1244,Meals leave dishes to be washed.,Meals leave dishes to be thrown away.,1
1245,"It is Christmas, so I need to go shopping for gifts.","It is Monday, so I need to go shopping for gifts.",1
1246,Binoculars allow people to see distant objects,Microscopes allow people to see distant objects,1
1247,She took to sea in a boat.,She took to sea in a colander.,1
1248,he take shower at 8.00 am,he take hills at 8.00 am,1
1249,The pencil is in the backpack,The car is in the backpack,1
1250,My luggage was in the trunk of my car all through my trip from New York to New Jersey.,My Mother was in the trunk of my car all through my trip from New York to New Jersey.,1
1251,my brother eat fire,my brother eat vegetables,0
1252,My house is bigger than my car.,My car is bigger than my house.,1
1253,He went to the toy store to eat.,He went to the restaurant to eat.,0
1254,he took the picture with his camera,he took the picture with the calculator,1
1255,She was invited to a birthday party in a kitchen,She was invited to a birthday party in a pub,0
1256,I use a pot to light the candles,I use a match to light the candles,0
1257,He is writing a letter to a friend.,He is laughing a letter to a friend.,1
1258,The Dog will crow at dawn.,The Chicken will crow at dawn.,0
1259,He drank a full glass of lemonade,He drank a full glass of bleach,1
1260,I love watching reality shows live on Television.,I love watching reality shows live on Radio.,1
1261,The boy drove his car to school.,The boy drove his scissors to school.,1
1262,He parked a truck in a small garage,He parked a car in a small garage,0
1263,My sister drives a chicken to work.,My sister drives a car to work.,0
1264,He gave milk to the table,He gave milk to the cat,0
1265,One impairment a person might have is back pain.,One impairment a chair might have is back pain.,1
1266,HE WAS GOES TO THE HOTEL TO WRITE HIS SEMESTER EXAMS.,HE WAS GOES TO THE  COLLEGE TO WRITE HIS SEMESTER EXAMS.,0
1267,Some people has cats as domesticated animals.,Some people has tiger as domesticated animals.,1
1268,Animals can photograph people with cameras.,People can photograph animals with cameras.,0
1269,Dog is men's fried pan,Dog is man's best friend,0
1270,Potato soup is made with potatoes.,Potato soup is made with printer ink.,1
1271,my brother eat ice creams,my brother eat fridge,1
1272,My cat likes eating fish.,My fish likes eating cats.,1
1273,I went to market by my table.,I went to market by car.,0
1274,Moon is red in color,Sun is red in color,0
1275,They were travelling in a plate on the ocean,They were travelling in a ship on the ocean,0
1276,Jeff ate coffee,Jeff drank coffee,0
1277,"A person should be determined, but must know when to let go","A termite should be determined, but must know when to let go",1
1278,The man stapled some houses together.,The man stapled some documents together.,0
1279,he washed clothes in car,He washed clothes in washing machine,0
1280,The old king of Spain had many wives,The old donut of Spain had many wives,1
1281,He has ten fingers in one hand.,He has ten fingers in his hands.,0
1282,Birds like to bathe in my bird bath.,Birds like to bathe in a volcano.,1
1283,Electronics can run with electricity.,Electronics can run with water.,1
1284,We can trap a mouse using a mouse trap,We can trap a tiger using a mouse trap,1
1285,A toothbrush is used for cleaning teeth.,A television is used for cleaning teeth.,1
1286,A phone is used to send clothes.,A phone is used to send messages.,0
1287,He called his friend on the lightbulb,He called his friend on the phone,0
1288,She wrote an essay.,She ate an essay.,1
1289,He print a photo from a printer,He print a laptop from a printer,1
1290,Rock are animals and can feel pain,Cows are animals and can feel pain,0
1291,Roadkill makes great party decorations,Balloons make great party decorations,0
1292,Situation: I am eating my dinner at night,I am eating my dinner in the morning,1
1293,photographs are captured by a camera,photographs are captured by a calculator,1
1294,He likes to eat cookies,He likes to eat stones,1
1295,he was sent to jail for stealing,he was sent to restaurant for stealing,1
1296,the cat barks all day long,the dog barks all day long,0
1297,He kept an Helicopter above the chair,He kept TV above the chair,0
1298,I threw the treadmill to my son.,I threw the baseball to my son.,0
1299,He brushed his eyes with a toothbrush,He brushed his teeth with a toothbrush,0
1300,We can run daily to stay healthy.,We can fly daily to stay healthy.,1
1301,my son like to eat tiger after meal,my son like to eat chocolate after meal,0
1302,I appear to have dropped my pen,I appear to have dropped my elephant,1
1303,She placed the car into the fridge.,She placed the vegetables into the fridge.,0
1304,Movies are screened in hospitals,Movies are screened in theaters,0
1305,The dog walked into the sky.,The dog walked in the park.,0
1306,People eat bricks for breakfast,People eat cereal for breakfast,0
1307,she is a woman,she is a dragon,1
1308,He made an apple pie,He made an apple of pies,1
1309,Something might you do after eating is belching,Something might you do after eating is flying in air,1
1310,I go to university to get a bachelor's degree,I go to jail to get a bachelor's degree,1
1311,He is cutting his hair with scissors.,He is cutting his hair with knife.,1
1312,We eat dinner during the day.,We eat lunch during the day.,0
1313,I want to be a sound engineer.,I want to be a computer.,1
1314,My favorite milk is turkey milk.,My favorite milk is cow milk.,0
1315,a gun can be used for feed people,a gun can be used for killing people,0
1316,Bees make honey for elephants,Bees make honey for their children,0
1317,Licking the ground taste like dirt,Licking the ground taste sweet,1
1318,You can not breath under water without an air supply,you can not breath under water without a puppet,1
1319,A house phone can make calls anywhere.,A mobile telephone can make calls anywhere.,0
1320,Chilly powder is sweet in taste,Sugar is sweet in taste,0
1321,I brush my teeth with a knife,I brush my teeth with a toothbrush,0
1322,The man lived in a house,The man lived on the moon,1
1323,he drove a helicopter to work,he was driving to work,0
1324,she sails the lake on a boat,she sails the lake on a car,1
1325,She put jelly on her hair to clean it.,She put shampoo on her hair to clean it.,0
1326,A pastor preaches the law,A pastor preaches the bible,0
1327,She parked her car on top of mine,She parked her car behind mine,0
1328,He put gas in his bicycle.,He put gas in his car.,0
1329,Something you find in sea is fish,Something you find in sea is elephant,1
1330,It is helpful to carry an umbrella when it is a rainy day.,It is helpful to close an umbrella when it is a rainy day.,1
